ISSUER_ISIN,GICS_SUB_IND,GICS_SECTOR,EST_EU_TAXONOMY_MAX_REV,CT_TOTAL_MAX_REV,EU_TAXONOMY_ADAPTATION_ELIGIBLE_MAX_REV,EU_TAXONOMY_MITIGATION_ELIGIBLE_MAX_REV,GICS_SECTOR.1,Weight,CI_Scope12_FY09,CI_Scope12_FY10,CI_Scope12_FY11,CI_Scope12_FY12,CI_Scope12_FY13,CI_Scope12_FY14,CI_Scope12_FY15,CI_Scope12_FY16,CI_Scope12_FY17,CI_Scope12_FY18,CI_Scope12_FY19,CI_Scope12_FY20,CI_Scope12_FY21,CI_Scope12_FY22,CI_Scope12_FY23,CI_Scope12_FY24,CI_Scope12_FY25,CI_Scope12_FY26,CI_Scope12_FY27,CI_Scope12_FY28,CI_Scope12_FY29,CI_Scope12_FY30,CI_Scope12_FY31,CI_Scope12_FY32,CI_Scope12_FY33,CI_Scope12_FY34,CI_Scope12_FY35,CI_Scope12_FY36,CI_Scope12_FY37,CI_Scope12_FY38,CI_Scope12_FY39,CI_Scope12_FY40,CI_Scope12_FY41,CI_Scope12_FY42,CI_Scope12_FY43,CI_Scope12_FY44,CI_Scope12_FY45,CI_Scope12_FY46,CI_Scope12_FY47,CI_Scope12_FY48,CI_Scope12_FY49,CI_Scope12_FY50,CARBON_EMISSIONS_SCOPE_12_FY09,CARBON_EMISSIONS_SCOPE_12_FY10,CARBON_EMISSIONS_SCOPE_12_FY11,CARBON_EMISSIONS_SCOPE_12_FY12,CARBON_EMISSIONS_SCOPE_12_FY13,CARBON_EMISSIONS_SCOPE_12_FY14,CARBON_EMISSIONS_SCOPE_12_FY15,CARBON_EMISSIONS_SCOPE_12_FY16,CARBON_EMISSIONS_SCOPE_12_FY17,CARBON_EMISSIONS_SCOPE_12_FY18,CARBON_EMISSIONS_SCOPE_12_FY19,CARBON_EMISSIONS_SCOPE_12_FY20,CARBON_EMISSIONS_SCOPE_12_FY21,CARBON_EMISSIONS_SCOPE_12_FY22,CARBON_EMISSIONS_SCOPE_12_FY23,CARBON_EMISSIONS_SCOPE_12_FY24,CARBON_EMISSIONS_SCOPE_12_FY25,CARBON_EMISSIONS_SCOPE_12_FY26,CARBON_EMISSIONS_SCOPE_12_FY27,CARBON_EMISSIONS_SCOPE_12_FY28,CARBON_EMISSIONS_SCOPE_12_FY29,CARBON_EMISSIONS_SCOPE_12_FY30,CARBON_EMISSIONS_SCOPE_12_FY31,CARBON_EMISSIONS_SCOPE_12_FY32,CARBON_EMISSIONS_SCOPE_12_FY33,CARBON_EMISSIONS_SCOPE_12_FY34,CARBON_EMISSIONS_SCOPE_12_FY35,CARBON_EMISSIONS_SCOPE_12_FY36,CARBON_EMISSIONS_SCOPE_12_FY37,CARBON_EMISSIONS_SCOPE_12_FY38,CARBON_EMISSIONS_SCOPE_12_FY39,CARBON_EMISSIONS_SCOPE_12_FY40,CARBON_EMISSIONS_SCOPE_12_FY41,CARBON_EMISSIONS_SCOPE_12_FY42,CARBON_EMISSIONS_SCOPE_12_FY43,CARBON_EMISSIONS_SCOPE_12_FY44,CARBON_EMISSIONS_SCOPE_12_FY45,CARBON_EMISSIONS_SCOPE_12_FY46,CARBON_EMISSIONS_SCOPE_12_FY47,CARBON_EMISSIONS_SCOPE_12_FY48,CARBON_EMISSIONS_SCOPE_12_FY49,CARBON_EMISSIONS_SCOPE_12_FY50,CARBON_MOMENTUM_SCOPE_12_FY23,CARBON_MOMENTUM_SCOPE_12_FY24,CARBON_MOMENTUM_SCOPE_12_FY25,CARBON_MOMENTUM_SCOPE_12_FY26,CARBON_MOMENTUM_SCOPE_12_FY27,CARBON_MOMENTUM_SCOPE_12_FY28,CARBON_MOMENTUM_SCOPE_12_FY29,CARBON_MOMENTUM_SCOPE_12_FY30,CARBON_MOMENTUM_SCOPE_12_FY31,CARBON_MOMENTUM_SCOPE_12_FY32,CARBON_MOMENTUM_SCOPE_12_FY33,CARBON_MOMENTUM_SCOPE_12_FY34,CARBON_MOMENTUM_SCOPE_12_FY35,CARBON_MOMENTUM_SCOPE_12_FY36,CARBON_MOMENTUM_SCOPE_12_FY37,CARBON_MOMENTUM_SCOPE_12_FY38,CARBON_MOMENTUM_SCOPE_12_FY39,CARBON_MOMENTUM_SCOPE_12_FY40,CARBON_MOMENTUM_SCOPE_12_FY41,CARBON_MOMENTUM_SCOPE_12_FY42,CARBON_MOMENTUM_SCOPE_12_FY43,CARBON_MOMENTUM_SCOPE_12_FY44,CARBON_MOMENTUM_SCOPE_12_FY45,CARBON_MOMENTUM_SCOPE_12_FY46,CARBON_MOMENTUM_SCOPE_12_FY47,CARBON_MOMENTUM_SCOPE_12_FY48,CARBON_MOMENTUM_SCOPE_12_FY49,CARBON_MOMENTUM_SCOPE_12_FY50
US1264081035,Rail Transportation,Industrials,0.0,0.0,100.0,100.0,Industrials,0.001031086841553555,343.0879443269428,373.2465033772259,388.5815651224671,379.9600873302859,379.6793341065703,398.45343521866687,380.7523367674149,341.4079961793,336.1808692092516,331.1329740055946,307.35641672920787,272.9576311659958,281.7371904209593,290.6096063314457,301.49955652589205,293.8375817503095,286.17560697472686,278.51363219914424,270.8516574235616,263.18968264797905,255.52770787239643,247.86573309681376,240.2037583212312,232.5417835456486,224.879808770066,217.21783399448336,209.5558592189008,201.89388444331817,194.23190966773555,186.56993489215293,178.90796011657034,171.24598534098772,163.58401056540512,155.92203578982253,148.2600610142399,140.5980862386573,132.9361114630747,125.27413668749207,117.61216191190948,109.95018713632687,102.28821236074424,94.62623758516166,5028640.0,5470674.0,5695440.0,5569075.0,5564960.0,5840132.0,5580687.0,5004017.0,4927403.0,4853416.0,4504923.0,4000740.0,4129422.0,4259465.0,4419079.0,4306777.435714286,4194475.871428572,4082174.307142857,3969872.742857143,3857571.1785714286,3745269.6142857145,3632968.05,3520666.4857142856,3408364.9214285715,3296063.3571428573,3183761.792857143,3071460.228571429,2959158.6642857143,2846857.1,2734555.535714285,2622253.9714285717,2509952.407142857,2397650.842857143,2285349.2785714287,2173047.7142857146,2060746.15,1948444.5857142855,1836143.0214285715,1723841.4571428574,1611539.8928571432,1499238.3285714283,1386936.7642857144,-39.35011082087077,-38.350110820870775,-37.350110820870775,-36.35011082087077,-35.35011082087077,-34.35011082087077,-33.350110820870775,-32.35011082087077,-31.35011082087077,-30.35011082087077,-29.35011082087077,-28.35011082087077,-27.35011082087077,-26.35011082087077,-25.35011082087077,-24.350110820870768,-23.350110820870768,-22.350110820870768,-21.35011082087077,-20.35011082087077,-19.35011082087077,-18.350110820870768,-17.35011082087077,-16.35011082087077,-15.350110820870771,-14.350110820870771,-13.35011082087077,-12.35011082087077
US1270971039,Oil & Gas Exploration & Production,Energy,0.0,0.0,0.0,0.0,Energy,0.00028110187154861503,64.2246657283603,61.65077410274455,186.32142857142856,216.8779028852921,101.43332160450387,76.16484869809993,92.94106263194934,83.47695285010556,79.70953553835328,112.29492258972554,102.95179451090782,45.13901477832513,283.55541871921184,301.8223082336383,309.55214101661886,317.2819737995994,325.01180658258,332.74163936556056,340.4714721485411,348.2013049315217,355.93113771450226,363.6609704974828,371.3908032804634,379.120636063444,386.8504688464245,394.58030162940514,402.3101344123857,410.03996719536616,417.7697999783468,425.4996327613274,433.2294655443079,440.9592983272884,448.68913111026905,456.41896389324967,464.1487966762302,471.87862945921074,479.60846224219137,487.3382950251719,495.0681278081524,502.797960591133,510.5277933741136,518.2576261570941,365053.0,350423.0,1059051.0,1232734.0,576547.0,432921.0,528277.0,474483.0,453069.0,638284.34,585178.0,256570.16,1611729.0,1715558.0,1759494.3695384616,1803430.739076923,1847367.108615385,1891303.4781538465,1935239.847692308,1979176.217230769,2023112.586769231,2067048.9563076925,2110985.325846154,2154921.695384616,2198858.064923077,2242794.4344615387,2286730.804,2330667.1735384613,2374603.543076923,2418539.912615385,2462476.282153846,2506412.651692308,2550349.0212307693,2594285.390769231,2638221.7603076925,2682158.129846154,2726094.499384616,2770030.868923077,2813967.238461538,2857903.608,2901839.977538462,2945776.347076923,40.04642140489588,41.04642140489588,42.04642140489588,43.04642140489588,44.04642140489588,45.04642140489588,46.046421404895874,47.04642140489588,48.046421404895874,49.04642140489588,50.046421404895874,51.04642140489588,52.04642140489588,53.046421404895874,54.04642140489588,55.04642140489588,56.04642140489588,57.046421404895874,58.04642140489588,59.04642140489589,60.04642140489588,61.046421404895874,62.04642140489588,63.046421404895874,64.04642140489587,65.04642140489588,66.04642140489588,67.04642140489588
CA5592224011,Automotive Parts & Equipment,Consumer Discretionary,7.97,8.5,100.0,100.0,Consumer Discretionary,0.0001907958681380102,14.74282394387282,30.10045598648245,27.950684619672625,34.49548824562338,37.41456967204216,40.30382490631033,37.94607013063416,46.87696912863408,48.81635727801371,48.46008855522154,48.714447693201166,38.988844089922885,35.72677288143186,37.49049504393821,46.30669027773556,47.67534603443716,49.044001791138754,50.412657547840354,51.78131330454195,53.149969061243546,54.51862481794514,55.88728057464674,57.25593633134833,58.62459208804992,59.99324784475152,61.36190360145313,62.73055935815472,64.09921511485632,65.4678708715579,66.8365266282595,68.2051823849611,69.5738381416627,70.9424938983643,72.31114965506589,73.67980541176749,75.04846116846909,76.41711692517067,77.78577268187227,79.15442843857387,80.52308419527547,81.89173995197707,83.26039570867866,645050.0,1317000.0,1222940.0,1509298.0,1637018.0,1763433.0,1660273.0,2051031.0,2135886.0,2120298.0,2131427.1,1705898.0,1563171.0,1640340.0,2026079.31,2085962.7759642857,2145846.2419285714,2205729.707892857,2265613.173857143,2325496.639821429,2385380.1057857145,2445263.57175,2505147.037714286,2565030.5036785714,2624913.969642857,2684797.435607143,2744680.901571429,2804564.3675357145,2864447.8335,2924331.299464286,2984214.765428572,3044098.2313928576,3103981.6973571437,3163865.163321429,3223748.6292857146,3283632.09525,3343515.561214286,3403399.027178572,3463282.4931428577,3523165.959107144,3583049.425071429,3642932.891035714,33.83370146291041,34.83370146291041,35.83370146291041,36.83370146291042,37.83370146291042,38.83370146291042,39.83370146291041,40.83370146291041,41.83370146291041,42.83370146291041,43.83370146291041,44.83370146291042,45.83370146291041,46.83370146291041,47.83370146291041,48.83370146291041,49.83370146291042,50.83370146291042,51.83370146291041,52.83370146291041,53.83370146291041,54.83370146291041,55.83370146291041,56.83370146291041,57.83370146291042,58.83370146291041,59.83370146291041,60.83370146291041
US8326964058,Packaged Foods & Meats,Consumer Staples,0.0,0.0,0.0,0.0,Consumer Staples,0.00017684335457510944,49.20671989435974,49.82919045814127,45.7196131414528,43.65791629476567,44.98428845660068,38.13087654517221,40.45899715113649,39.20427451795518,53.31250687762114,56.21675816450047,53.732133468644165,49.61742086150611,45.88773276926651,46.9668773766002,47.26045610032063,47.55403482404107,47.8476135477615,48.141192271481934,48.43477099520236,48.7283497189228,49.02192844264323,49.31550716636367,49.609085890084096,49.90266461380453,50.19624333752496,50.4898220612454,50.78340078496583,51.07697950868626,51.37055823240669,51.66413695612713,51.95771567984756,52.251294403568,52.544873127288426,52.83845185100886,53.1320305747293,53.42560929844973,53.71918802217016,54.0127667458906,54.30634546961103,54.59992419333146,54.8935029170519,55.18708164077233,402447.0,407538.0,373927.0,357065.0,367913.0,311861.0,330902.0,320640.0,436027.0,459780.0,439459.0,405806.0,375302.0,384128.0,386529.09230769234,388930.1846153847,391331.27692307695,393732.3692307693,396133.4615384616,398534.5538461539,400935.6461538462,403336.7384615385,405737.8307692308,408138.9230769231,410540.0153846154,412941.1076923077,415342.2,417743.2923076924,420144.3846153846,422545.47692307696,424946.5692307693,427347.6615384616,429748.75384615385,432149.8461538462,434550.9384615385,436952.0307692308,439353.1230769231,441754.2153846154,444155.30769230775,446556.4,448957.4923076924,451358.58461538464,160.98052168564308,161.98052168564308,162.98052168564308,163.98052168564308,164.98052168564308,165.98052168564308,166.98052168564308,167.98052168564308,168.98052168564308,169.98052168564308,170.98052168564308,171.98052168564308,172.98052168564308,173.98052168564308,174.98052168564308,175.98052168564308,176.98052168564308,177.98052168564308,178.98052168564308,179.98052168564308,180.98052168564308,181.98052168564308,182.98052168564308,183.98052168564308,184.98052168564308,185.98052168564308,186.98052168564308,187.98052168564308
US8425871071,Electric Utilities,Utilities,6.41,6.41,33.34,33.34,Utilities,0.001426865452595576,4893.920009503821,5315.984001900764,4881.395160970974,4012.8636597631967,4134.739120104542,4538.453847067675,4136.988635013662,4071.259137528215,4017.974696075714,4160.479190591217,3501.393933394052,2982.4807745614385,3272.4630736942145,3365.936720389657,3148.1408149526787,3009.348211952187,2870.5556089516945,2731.763005951203,2592.97040295071,2454.1777999502183,2315.3851969497264,2176.592593949234,2037.7999909487417,1899.00738794825,1760.2147849477576,1621.4221819472657,1482.6295789467736,1343.8369759462812,1205.044372945789,1066.2517699452972,927.4591669448048,788.6665639443128,649.8739609438209,511.0813579433286,372.2887549428364,233.4961519423442,94.70354894185198,0.0,0.0,0.0,0.0,0.0,123586162.0,134244544.0,123269872.0,101336846.0,104414567.0,114609575.0,104471374.0,102811507.0,101465915.0,105064581.0,88420701.0,75316587.0,82639510.0,85000000.0,79500000.0,75995070.39642857,72490140.79285714,68985211.18928573,65480281.58571429,61975351.98214287,58470422.37857144,54965492.775000006,51460563.171428576,47955633.56785715,44450703.96428573,40945774.36071429,37440844.75714287,33935915.15357144,30430985.55000001,26926055.94642859,23421126.34285716,19916196.73928573,16411267.135714307,12906337.532142878,9401407.928571448,5896478.325000018,2391548.721428588,0.0,0.0,0.0,0.0,0.0,-22.682338589337625,-21.682338589337625,-20.68233858933762,-19.682338589337625,-18.682338589337625,-17.682338589337622,-16.682338589337622,-15.68233858933762,-14.68233858933762,-13.682338589337622,-12.68233858933762,-11.68233858933762,-10.682338589337622,-9.68233858933762,-8.68233858933762,-7.682338589337622,-6.682338589337621,-5.68233858933762,-4.682338589337622,-3.682338589337621,-2.68233858933762,-1.6823385893376197,-0.682338589337619,-0.0,-0.0,-0.0,-0.0,-0.0
US78409V1044,Financial Exchanges & Data,Financials,0.0,0.0,62.64,62.64,Financials,0.002377802127208627,11.806753620869008,16.85228454829159,10.308554052972712,9.068096343122347,5.138913339201408,4.117708249979995,4.032887893094343,2.891573977754661,3.5421301112266943,2.6182283748099544,2.649435864607506,1.495318876530367,1.058013923341602,2.1207489797551413,1.1550868911835543,0.1894248026119672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147549.0,210603.0,128826.0,113324.0,64221.0,51459.0,50399.0,36136.0,44266.0,32720.0,33110.0,18687.0,13222.0,26503.0,14435.120879120876,2367.2417582417547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1961605460686209,-0.1961605460686206,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
US5732841060,Construction Materials,Materials,0.0,2.75,99.99,99.99,Materials,0.0005392563978413289,1114.4763324086643,1167.0386000118044,1121.8728973617424,138.36274567668065,146.36855928702118,124.63377205925752,170.8234964292038,135.97916543705367,140.17485097090244,144.4865136044384,742.6152393318775,763.737236616892,752.5231659092251,772.4305022723249,723.7502213303429,714.2852742599134,704.8203271894841,695.3553801190546,685.8904330486253,676.4254859781958,666.9605389077665,657.495591837337,648.0306447669075,638.5656976964782,629.1007506260487,619.6358035556193,610.1708564851899,600.7059094147605,591.240962344331,581.7760152739016,572.3110682034721,562.8461211330427,553.3811740626132,543.9162269921839,534.4512799217545,524.9863328513251,515.5213857808956,506.05643871046624,496.5914916400368,487.12654456960735,477.661597499178,468.19665042874857,7553029.0,7909254.0,7603157.0,937712.0,991969.0,844668.0,1157705.0,921558.0,949993.0,979214.0,5032852.0,5176000.0,5100000.0,5234916.0,4905000.0,4840854.160714285,4776708.321428572,4712562.482142857,4648416.642857143,4584270.803571428,4520124.964285715,4455979.125,4391833.285714285,4327687.446428572,4263541.607142857,4199395.767857143,4135249.9285714286,4071104.0892857146,4006958.25,3942812.410714286,3878666.5714285714,3814520.732142857,3750374.892857143,3686229.0535714286,3622083.2142857146,3557937.375,3493791.535714285,3429645.696428572,3365499.8571428573,3301354.0178571427,3237208.1785714286,3173062.3392857146,-76.46637809433693,-75.46637809433693,-74.46637809433693,-73.46637809433693,-72.46637809433693,-71.46637809433693,-70.46637809433693,-69.46637809433693,-68.46637809433693,-67.46637809433693,-66.46637809433693,-65.46637809433693,-64.46637809433693,-63.46637809433693,-62.46637809433693,-61.46637809433693,-60.46637809433693,-59.46637809433693,-58.46637809433693,-57.46637809433693,-56.46637809433693,-55.46637809433693,-54.466378094336925,-53.46637809433694,-52.46637809433693,-51.46637809433693,-50.46637809433693,-49.46637809433693
CA05534B7604,Integrated Telecommunication Services,Communication Services,0.0,0.0,11.25,100.0,Communication Services,0.0003875593324549207,11.431573400543304,12.49017316079782,13.03636104194691,14.122858069712173,20.93363924130121,21.5086863647028,18.984464642351156,16.18896604282605,19.03780079747706,17.979361366346172,18.45334769882281,16.222314500540044,14.162940350618417,13.698787537724108,13.70097870241365,13.782128906600423,13.863279110787197,13.94442931497397,14.025579519160743,14.106729723347517,14.187879927534292,14.269030131721063,14.350180335907838,14.431330540094612,14.512480744281389,14.593630948468158,14.674781152654932,14.755931356841709,14.837081561028482,14.918231765215252,14.999381969402029,15.0805321735888,15.161682377775575,15.242832581962348,15.323982786149124,15.405132990335895,15.48628319452267,15.567433398709444,15.64858360289622,15.72973380708299,15.810884011269764,15.89203421545654,213902.0,233710.0,243930.0,264260.0,391700.0,402460.0,355228.0,302920.0,356226.0,336421.0,345290.0,303544.0,265010.0,256325.0,256366.0,257884.4428571429,259402.8857142857,260921.32857142857,262439.77142857143,263958.21428571426,265476.65714285715,266995.1,268513.54285714286,270031.9857142857,271550.4285714286,273068.8714285714,274587.3142857143,276105.7571428571,277624.2,279142.64285714284,280661.0857142857,282179.52857142856,283697.97142857144,285216.4142857143,286734.8571428572,288253.3,289771.7428571429,291290.1857142857,292808.6285714286,294327.0714285714,295845.5142857143,297363.95714285714,168.8348025703023,169.8348025703023,170.8348025703023,171.8348025703023,172.8348025703023,173.8348025703023,174.8348025703023,175.8348025703023,176.8348025703023,177.8348025703023,178.8348025703023,179.8348025703023,180.8348025703023,181.8348025703023,182.8348025703023,183.8348025703023,184.83480257030232,185.8348025703023,186.83480257030232,187.8348025703023,188.83480257030232,189.8348025703023,190.83480257030232,191.8348025703023,192.83480257030232,193.8348025703023,194.83480257030232,195.8348025703023
US8636671013,Health Care Equipment,Health Care,0.36,0.36,57.74,57.74,Health Care,0.002192622525501117,3.411210849839009,3.714069665333203,4.214899014538004,3.692165089277003,4.235730315152698,4.160698604741926,4.7736852375841545,4.535613230559079,5.053322275343936,4.510635183920383,9.387403649136502,9.413942823690116,9.11054737047517,9.622158259342374,10.266043516440629,10.791872956246602,11.317702396052574,11.843531835858547,12.369361275664524,12.895190715470497,13.42102015527647,13.946849595082446,14.47267903488842,14.998508474694392,15.524337914500368,16.050167354306343,16.575996794112314,17.10182623391829,17.627655673724266,18.15348511353024,18.67931455333621,19.205143993142187,19.73097343294816,20.25680287275413,20.782632312560107,21.30846175236608,21.834291192172056,22.360120631978027,22.885950071784,23.411779511589977,23.937608951395948,24.46343839120193,69923.0,76131.0,86397.0,75682.0,86824.0,85286.0,97851.0,92971.0,103583.0,92459.0,192423.0,192967.0,186748.0,197235.0,210433.36,221211.81185714283,231990.26371428568,242768.71557142853,253547.1674285714,264325.61928571423,275104.0711428571,285882.523,296660.97485714284,307439.4267142857,318217.87857142853,328996.3304285714,339774.78228571423,350553.2341428571,361331.686,372110.1378571429,382888.5897142857,393667.0415714285,404445.4934285714,415223.94528571423,426002.3971428571,436780.84899999993,447559.3008571428,458337.7527142856,469116.2045714285,479894.6564285713,490673.1082857142,501451.5601428571,19.523523673814648,20.523523673814648,21.523523673814648,22.523523673814648,23.52352367381465,24.523523673814648,25.523523673814648,26.52352367381465,27.52352367381465,28.52352367381465,29.523523673814648,30.523523673814648,31.523523673814648,32.52352367381465,33.52352367381465,34.52352367381465,35.52352367381465,36.52352367381465,37.52352367381465,38.52352367381465,39.52352367381465,40.52352367381465,41.52352367381465,42.52352367381465,43.52352367381465,44.52352367381464,45.52352367381464,46.52352367381465
US0320951017,Electronic Components,Information Technology,1.39,1.39,100.0,100.0,Information Technology,0.00131257247348627,37.23155471656033,46.92250710889149,52.01446470246202,56.66539224354226,60.92451432531243,70.57317180020232,73.51995666961376,82.99529259958422,23.34679442758489,25.740638963894,24.809832174404804,26.902912853353723,31.679610026523928,32.933642380941,32.310847730332064,30.213402721120943,28.11595771190982,26.0185127026987,23.92106769348758,21.823622684276454,19.726177675065344,17.628732665854223,15.531287656643102,13.43384264743198,11.33639763822086,9.238952629009738,7.141507619798621,5.0440626105875,2.9466176013763787,0.8491725921652575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467431.0,589098.0,653026.0,711417.0,764889.0,886025.0,923021.0,1041981.0,293112.0,323166.0,311480.0,337758.0,397728.0,413472.0,405653.0,379320.20714285714,352987.4142857143,326654.6214285714,300321.82857142854,273989.0357142857,247656.24285714288,221323.45,194990.65714285715,168657.86428571428,142325.07142857142,115992.27857142856,89659.48571428575,63326.69285714289,36993.90000000002,10661.10714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.404860479505322,-14.40486047950532,-13.40486047950532,-12.40486047950532,-11.40486047950532,-10.40486047950532,-9.404860479505322,-8.404860479505322,-7.404860479505321,-6.404860479505321,-5.404860479505321,-4.40486047950532,-3.4048604795053223,-2.404860479505322,-1.4048604795053217,-0.4048604795053214,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
